店家名稱,品項名稱,價格
吉森丼,唐揚雞丼,125
吉森丼,日式親子丼,105
吉森丼,日式豬排丼,140
吉森丼,炙豚五花丼,125
吉森丼,韓式五花丼,130
吉森丼,幕府叉燒丼,115
吉森丼,極盛叉燒丼,140
吉森丼,蔥燒雞丁飯,90
吉森丼,奶油玉米可樂丼,85
吉森丼,蝦仁排丼,130
吉森丼,日式蕎麥涼麵,105
吉森丼,豆皮烏龍麵,100
八方雲集,清燉牛肉麵,168
八方雲集,麻辣牛肉麵,178
八方雲集,招牌鍋貼(1顆),7
八方雲集,非菜鍋貼(1顆),7
八方雲集,韓式辣味鍋貼(1顆),7
八方雲集,咖哩雞肉鍋貼(1顆),7
八方雲集,玉米鍋貼(1顆),7
八方雲集,新蔬食鍋貼(1顆),7
八方雲集,酸辣湯餃（8顆）,90
八方雲集,古早味乾麵,45
八方雲集,麻醬乾麵,55
八方雲集,招牌乾麵,55
八方雲集,紹菜乾麵,60
八方雲集,古早味湯麵,45
八方雲集,酸辣湯麵,70
八方雲集,榨菜肉絲麵,80
早安有喜,法式金錢拼盤,195
早安有喜,香霧豐盛總匯拼盤,225
早安有喜,大相撲經典拼盤,225
早安有喜,香草豬肉堡,99
早安有喜,勁辣牛嫩腿堡,119
早安有喜,英式塔塔魚條堡,139
早安有喜,日式柚燒豬排堡,139
早安有喜,夏威夷鳳梨蝦排堡,139
早安有喜,手工經典4盎司純牛肉堡,139
早安有喜,經典花生醬純牛肉堡,139
早安有喜,松露豬排堡,139
早安有喜,果醬吐司（厚）,40
早安有喜,香蒜吐司條,45
早安有喜,阿華田脆酥吐司,60
早安有喜,鮪魚起司烤吐司（厚）,85
早安有喜,吐司夾蛋（L）,45
早安有喜,田園蛋蔬吐司（L）,60
早安有喜,切達起司吐司（L）,60
早安有喜,地瓜燕麥吐司（L）,60
早安有喜,香純鬆厚吐司（L）,65
早安有喜,香純嫩蛋吐司（L）,65
早安有喜,手工培根吐司（L）,75
早安有喜,香脆培根吐司（L）,75
早安有喜,起司香菇吐司（L）,70
早安有喜,馬鈴薯蛋沙拉吐司（L）,70
早安有喜,德式香腸吐司（L）,70
早安有喜,板燒烤肉吐司（L）,70
早安有喜,海洋冰鮮魚吐司（L）,75
早安有喜,澳洲牛肉吐司（L）,75
早安有喜,香草豬肉吐司（L）,85
早安有喜,卡啦脆腿吐司（L）,85
早安有喜,嫩煎雞腿吐司（L）,85
早安有喜,英式塔塔魚條吐司（L）,95
早安有喜,板燒烤雞腿吐司（L）,95
早安有喜,奶油牛芝堡排吐司（L）,95
早安有喜,嫩蔬雞腿堡吐司（L）,100
早安有喜,有喜蛋餅（雙蛋）,45
早安有喜,有喜蛋餅（厚酥）,55
早安有喜,蔬菜洋蔥蛋餅,55
早安有喜,香甜玉米蛋餅,60
早安有喜,切達蛋餅,60
早安有喜,香純肉鬆蛋餅,60
早安有喜,鮮蝦熱狗蛋餅,60
早安有喜,香烤雞火腿蛋餅,60
早安有喜,手工培根蛋餅,65
早安有喜,起司杏鮑菇蛋餅,65
早安有喜,海洋冰鮮鱸魚蛋餅,65
早安有喜,馬鈴薯蛋沙拉蛋餅,70
早安有喜,德式香腸蛋餅,70
早安有喜,板燒烤肉蛋餅,70
早安有喜,三種起司蛋餅,70
早安有喜,黃金泡菜蛋餅,70
早安有喜,韓式泡菜蛋餅,70
早安有喜,卡啦脆腿蛋餅,75
早安有喜,嫩煎雞腿蛋餅,80
早安有喜,蔬食脆捲餅,65
早安有喜,田園蔬菜捲餅,65
早安有喜,地瓜蔬菜捲餅,70
早安有喜,黃金泡菜蔬食捲餅,75
早安有喜,英式塔塔魚條捲餅,95
早安有喜,朝氣滿滿堡（起司蛋）,50
早安有喜,朝氣滿滿堡（火腿蛋）,55
早安有喜,朝氣滿滿堡（菠蘿蛋）,60
早安有喜,朝氣滿滿堡（香草豬肉蛋）,60
早安有喜,朝氣滿滿堡（牛肉蛋）,65
早安有喜,朝氣滿滿堡（卡啦脆腿蛋）,65
早安有喜,朝氣滿滿堡（嫩煎雞腿蛋）,65
早安有喜,朝氣滿滿堡（英式塔塔豬排蛋）,70
早安有喜,朝氣滿滿堡（松露豬排蛋）,80
早安有喜,義式肉醬義大利麵,65
早安有喜,磨菇肉醬義大利麵,65
早安有喜,黑胡椒肉醬義大利麵,65
早安有喜,海味XO醬義大利麵,75
早安有喜,培根白醬義大利麵,95
早安有喜,經典烤肉炒麵,60
早安有喜,打拋豬炒麵,70
早安有喜,醬燒雞腿炒麵,80
早安有喜,泡菜豬肉炒麵,95
早安有喜,泡菜牛肉炒麵,110
早安有喜,湖畔刺椒豬炒麵,120
早安有喜,套餐飯食（泰式打拋豬飯）,149
早安有喜,套餐飯食（湖畔刺椒豬飯）,159
早安有喜,套餐飯食（湖畔刺椒五花牛飯）,159
早安有喜,套餐飯食（招牌鹵燒飯）,169
早安有喜,鍋燒系列（豚骨鍋燒麵）,125
早安有喜,鍋燒系列（豚骨鍋燒冬粉）,125
早安有喜,鍋燒系列（豚骨鍋燒烏龍麵）,125
早安美芝城,招牌豬肉堡,40
早安美芝城,鮮蔬柳豬堡,50
早安美芝城,里肌豬排堡,65
早安美芝城,阿拉斯加魚堡,65
早安美芝城,卡啦嫩雞排堡,75
早安美芝城,早安嫩雞腿堡,75
早安美芝城,起司豬肉蛋堡,55
早安美芝城,起司嫩雞蛋堡,65
早安美芝城,日式嫩煎雞蛋堡,65
早安美芝城,花生牛肉堡,60
早安美芝城,煙燻牛肉堡,65
